Name,Author,FullName,Description,Depends,StdLink
Abpe,Dmitry V. Dagaev,Automata-Based Programming Engine.,"ABPE is a pilot implementation of automata-based programming engine. AbpeObx examples demonstrate the following files:


'Data' files provide only type information for Records, derived from A.Data type, and a set of numbers for States and Outputs code procedures;
'Code' files provide only code procedures for 'Data' files;
'Schema' files provide 'Data' records connected in schemes. The schemes can be implemented in 'Schema' program modules (AddModule), Data instance pointers, (AddPtr) and schemes text files (AddFile).


The Abpe engine performs AbpeExamples execution. AbpeRunner implements Services-based runtime.

The 'Data' file consists of 2 sets of numbers defined in the type names, the 'HelloStates_0_1' RECORD (A.OnlyStates) prescribes the 'Code' file to have two state-connected routines for Hello type:
PROCEDURE sss0* (VAR t: D.Hello; IN e: A.Event; VAR y: A.State);
PROCEDURE sss1* (VAR t: D.Hello; IN e: A.Event; VAR y: A.State);

The 'HelloOutputs_1_2' RECORD (A.OnlyOutputs) prescribes the 'Code' file to have two output-generating routines for Hello type:
PROCEDURE zzz1* (VAR t: D.Hello; y: A.State);
PROCEDURE zzz2* (VAR t: D.Hello; y: A.State);

",,http://www.zinnamturm.eu/pac/Abpe.pac
ADen,Fyodor Tkachov,Algorithms and Data Structures.,"The subsystem contains the program examples from N.Wirth's ""Algorithms and Data Structures. Oberon version"". This version incorporates corrections and modifications introduced in the Russian translation and approved by Niklaus Wirth in April, 2009. The book can be download from website http://www.inr.ac.ru/~info21/ADen/.

To read the sources and run the programs, you need the BlackBox Component Builder (an Oberon derivative) freely available from http://www.oberon.ch/blackbox.html. BlackBox runs under MS Windows and Linux+Wine. All modules must be open and run from the BlackBox Component Builder.

After installing BlackBox, unpack this package into the BlackBox folder (so that ADen and i21sys subfolders appear along with Com, Comm, Ctl ... BlackBox.exe ...). The modules require one external module to run called i21sys/Mod/In.odc . It is included in this package.

Run BlackBox.exe, open the file ADen/Docu/Quick-Start.odc and read the instructions. The document ADen/Docu/Sys-Map.odc contains hyperlinks to all program examples. To run program examples in a module, click on the so-called commanders (the buttons like this one (!)); they are usually located after the end of the module text. Make sure nothing is selected when you click. The commanders should be clicked in the order of their appearance.

",,http://www.zinnamturm.eu/pac/ADen.pac
Alacarte,Helmut Zinn,3D computer graphic á la carte.,"Space...the Final Frontier. These are the voyages to the 3-D computer graphic. Your mission is to explore the strange 3D graphic world and to gain experience. To seek out:


Viewing (Viewing Pipeline and hierarchical Modelling)
Clipping
Shading (gouraud and flat)
Lighting (Ambient Light, Directed Light or Infinite Light, Point Light or Positional Light and Spot Light)
Mash


",Ctls TboxTimer,http://www.zinnamturm.eu/pac/Alacarte.pac
Algebra,Robert D. Campbell,Computational Algebra library.,"Algebra is a 'Computational' algebra system, and can numerically evaluate elements from many mathematical structures. It is not a 'Computer Algebra System' that can handle these elements symbolically.

The modules fall into four classes:


AbstractExamples include Groups, Rings, & Fields as general ideas.
Semi-abstractVectors, Matrices, Rationals, Polynomials, & Rational functions.
The elements of these can be anything from the Abstract class.
(Since a polynomial is a ring, one can have polynomials of polynomials, etc.)
ConcreteSpecific examples of the abstract ideas.
Examples are 3-D Vectors, Gaussian Integers, Multi-precision complex numbers,Quaternions, and many others.
SpecialisedExamples are polynomial factorisation, orthogonal polynomials, type transfers.
PolyRoot can, for example, factorise complex polynomials to arbitrary precision.


AlgebraDemo gives an extensive demonstration of using the Algebra facilities.

",Ctls CpcChill Lib,http://www.zinnamturm.eu/pac/Algebra.pac
AlmGather,Aubrey McIntosh,Source Code Collection and Topological Sort (Gather.Order).,"Gather is a program that reads a list of 1 or more module names. It produces a topologically sorted list of all the modules that have source online and are necessary to support the listed modules. It has been in use for more than 10 years in the Oberon V4 environment, and was recently ported to BlackBox. Gather is written in Component Pascal. This version is for use with Oberon Microsystems BlackBox Component Builder v1.5 (BB) or v1.6-rc5.

What it does:


Reads the names of modules provided in the command parameters
Scan the IMPORT lists of the modules
Enter newly discovered imports to the list
Topologically sort the list to correct compile / load order
Open a document with the list


What it does not do:


Scan sym files
Scan code files


Gather is complimentary to DevDependencies. It was inspired by the Builder tool in ETH Oberon, but is written from scratch with different internal structure.

",,http://www.zinnamturm.eu/pac/AlmGather.pac
AlmPathLab,Aubrey McIntosh,A BusyBox (Lab) Panel to interconvert Module names and ancillary file names.,"This version works with the Linux BBCB version, Denisov et al.

What it does:


What it does: 
Splits the provided module name into component parts.
Presets some string values for different typeDirs, e.g., Mod, Docu, Sym, Code.
Allows Strings filename support.
Builds a locPath, filename, type, and complete pathname from the parts.
Opens a document matching the name.
This strings file for a (new) language.
Pastes the full path to the focus cursor position.


AlmPathLib, the module that AlmPathLab wraps, is redundant to Files.dir.GetFileName and StdLibrarian.  It does, however, support regularity in the generation of file names.

",,http://www.zinnamturm.eu/pac/AlmPathLab.pac
Amisc,Anton Dmitriev,"Organize Desktop, Taskbar and Toolbar.","Amisc organized your desktop like the original Oberon systems. It divides the desktop into two tracks: the user track and the system track. Furthermore it adds a taskbar at the bottom of the BlackBox windows. The taskbar has a button for every opened (document) window. Clicking on the button brings up the window to the top. At the top of the BlackBox windows it provides a toolbar. You can manipulate the current selection's attributes with that toolbar.

",,http://www.zinnamturm.eu/pac/Amisc.pac
Babel,Gérard Meunier,Babel Compiler Compiler.,"Babel is a meta compiler. From a language definition document, it builds the tables of a compiler (lexical, syntactic and semantic) and store them in a binary file. A special module, included in the final program, reads this file and then can compile texts of the language.

You find examples of using Babel here:


CpcIndex - Cross reference builder and pretty printer.
CpcRegul - Regular Lexical Analyser.
CpcStats - Statistic of accessing the CPC website.
CpcWhere - Where, Indexer of Source & Symbol files.
Hermes - Data Acquisition & Scientific Spreadsheet
Kine - Simulation Tools.
Plot - 2D plotting tools including data fit.
Prolog - Prolog Language Interpreter
Tp2cp - Convert Turbo Pascal to Component Pascal.
UtilFunc - Inline Functions
UtilMathsl - Mathematical Editor
UtilJson - Encoding and decoding of JSON
UtilGraphQL - GraphQL compiler and support


",,http://www.zinnamturm.eu/pac/Babel.pac
Basic,Helmut Zinn,Getting started with Component Pascal.,"Here are elementary programs for beginners to learn Component Pascal (Oberon 2). This small and easy modules are written in German. If someone would like to translate them to English please contact me.

Einführung in Component Pascal.

Hier sind kurze und einfache Programme für Anfänger zum Lernen von Component Pascal (Oberon-2). Es sind Aufgaben und Lösungen die in einen Anfängerkurs verwendet werden.

",Ctls Xy,http://www.zinnamturm.eu/pac/Basic.pac
Basics,Rainer Neubauer,"Program library for Bit-Manipulations, Dynamic-Strings, File-I/Os, Time Strings and Run-Parameters.","BasicsAssert The services of the module BasicsAssert are applied to implement design-by-contract. In case of trap the StdLog window will show name and value of the variable causing the trap and the appropriate limits.

BasicsBits offers low level access to bits and bytes using the concept of SETs and avoiding the import of SYSTEM.

BasicsDynStrings provides a class for dynamic strings. It includes useful procedures for string manipulations without limitations of the string lenght. Converters between basic data types and dynamic strings are available too.

BasicsStrings offers the functionality of module Strings plus some additional services for dealing with Hex-Strings. In contrast to module Strings all output strings are delivered as POINTER TO ARRAY OF CHAR.

BasicsFiles deals with ASCII files and binary files as well. It sits on top of module Files and offers traditional file I/O.

BasicsParameters implements a scanner for analyzing parameters usually passed to programs via a command line. The parameter string ist passed to the module by calling ScanParameterString. Subsequently names and values of the parameters will be available by calling the according procedures.

BasicsTime implements procedures for getting date / time strings, time stamps and pausing program execution by busy waiting.

BasicsUtils offers some helpful utilities.

",,http://www.zinnamturm.eu/pac/Basics.pac
